0 1 2
1005145988871475200 1 177
1005145612176777216 5 918
1005144179721240581 3837 19597
1005089933894266881 1 5
1005087942723981312 42766 0
1004855332131295234 5 126
1004786407708164107 17062 131854
1004504457999241216 0 52
1004433635108442112 17371 75430
1004400383865901056 5373 42167
1004150322263183360 19438 0
1004029683225292800 1796 29177
1003866580697088000 127 1593
1003805846353121280 5384 48046
1003708192478679042 0 6
1003672564437340161 4 81
1003672308156960768 0 2
1003667715591147521 358 8795
1003413391564734464 16683 104767
1003372821605765120 9 179
1003337583118647296 0 5
1003024665403625472 7118 59829
1003015971957891072 0 18
1002970140076412929 1 9
1002727226838847488 0 65
1002709001115721728 0 93
1002678781562245120 7785 52197
1002674804057694208 0 13
1002672183003566081 207 1667
1002661439449042945 0 10
1002633258738348032 1 4
1002609967059406848 5514 36230
1002265749300432898 6 460
1002261982886625280 100 1953
1002219590875799552 17856 117315
1002210001593790465 162640 0
1001998056752021504 53 0
1001997994328297472 0 24
1001970563303247878 0 82
1001967228458356737 2 181
1001966808256204800 1 8
1001965427248041984 204 2547
1001957343247073282 53 3928
1001864812761149441 5652 48308
1001670116189376513 0 20
1001617281070362624 9 1007
1001616871181967365 7625 67229
1001538780342480896 0 27
1001537100636983297 101 0
1001530787458703360 4 118
1001526361629122560 1 57
1001495496735805441 2 62
1001495199753875461 6987 60146
1001487829845856257 0 45
1001253587480186880 10921 79533
1001243120078598144 0 376
1001242599863316481 200 0
1001207611629490176 1 6
1001170590038970371 6748 56712
1001150535272198144 6 37
1000898043447857154 0 5
1000890686697365504 7315 60698
1000853307156557824 1 28
1000850020491517955 0 14
1000819187919609857 0 6
1000769009531449349 4 60
1000525436953165824 0 24
1000524870239817728 5531 47335
1000504631376711680 0 131
1000444294921162753 70186 0
1000413174070501377 25434 0
1000406013181419520 0 17
1000241160730890241 0 3
1000182554048323585 0 3
1000052884371922944 0 69
1000048866169950208 3207 18630
1000032994831282176 0 24
1000032789109133313 86 2579
1000019709826347008 175 0
999821025503260673 9229 70843
999792798135185408 1053 14206
999760841561071622 0 176
999756371032772608 44 1470
999663309040373761 0 1
999496808777814016 0 162
999477072304263168 0 3
999476197015932930 0 12
999475777421836289 0 30
999475605212139521 0 2
999474886652329991 0 29
999453304106176512 0 26
999453211068108800 0 1
999451433882800129 0 120
999449117096062981 1 10
999448029110394880 0 19
999443785724649472 0 2
999442785324421120 0 4
999439888381595648 632 5404
999340470223417346 125 0
999321385729224704 24588 115678
999080471047888896 14739 92163
999037038946070529 0 4
998938618034081793 0 12
998928195524145158 88 0
998754837113331712 0 6
998712473707536384 25623 128816
998619322527506433 11 678
998596105498742785 9827 65653
998584772065710080 0 2
998580115012575232 242 5825
998308923290595328 0 4
998283191537557505 179 0
998233402196332544 5519 38806
997951090468499463 1 225
997950781071548416 4451 44397
997893145219207168 0 4
997660407631360000 7 383
997649354331697154 58 1430
997625480466583552 47 1731
997601957215920128 7791 66875
997510489566523392 789 13859
997283567322492928 529 0
997239996082999301 0 21
997200582556385280 0 27
997193935985565703 348 0
997154372428615681 1 4
997148767139827712 0 1
997145764790001664 0 70
997145634191880193 1 9
997143140221030400 1 123
997140980246736896 529 6708
996961725135114240 9 1160
996911839618445313 28207 0
996903061099597826 0 2
996861216193642496 0 3
996823894467186700 0 2
996782581554311168 6765 57614
996760337528643584 0 5
996756483680489472 11 249
996546110930989056 0 5
996545272787488770 152 5466
996544892607320064 78914 342480
996521183100260354 0 2
996515349255413761 209 0
996442796570677248 602 0
996404710595878912 9933 0
996188166217457667 9933 81919
996186774748762115 6 284
996094429239873542 0 14
996065695233400834 0 83
996064118112210946 6399 54681
995852824473939968 0 141
995829807903592448 471 0
995737431776419842 0 7
995735314663723009 0 4
995729782439596032 0 46
995727875323191296 1 103
995726611084398593 471 10089
995664137303838721 0 2
995449403354812416 13907 87097
995444406206521344 0 1
995335645580152833 38 1599
995311398178652160 0 66
995311119362387968 0 6
995114674600456192 310 0
995051079015587841 0 7
995030462073622531 7 181
995030186126118912 0 14
994991096878043136 4 261
994989488404393984 11 879
994989107037208577 0 4
994981991761219584 5922 33096
994976145820016640 0 18
994792080533872641 1 8
994759305621622784 0 9
994737215451336704 1 5
994677639364403200 1 10
994364904978239488 5 293
994363623421153280 18039 105672
994336722875047936 0 1
